,Multi_Class,Search Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
59,0-549,2021-12-16,284.2,282.02,2.18,5974300.0,171.26,173.01,-1.75,8998600.0,288.27,283.68,4.59,2091900.0,"36,036.28","35,897.64",138.64,"473,620,000",58.36,61.25,-2.89,75183600.0,497164406.0,1655961.0,61553.14,185062.0
60,0-549,2021-12-15,271.8,283.28,-11.48,9269500.0,169.85,171.14,-1.29,8552200.0,271.78,287.05,-15.27,2795300.0,"35,549.35","35,927.43",-378.08,"424,720,000",56.11,58.8,-2.69,75202900.0,495508445.0,1683600.0,61172.0,177308.0
61,1699-5000,2021-12-14,264.3,277.16,-12.86,6444900.0,168.33,170.29,-1.96,10482400.0,272.0,276.77,-4.77,2172500.0,"35,605.73","35,544.18",61.55,"440,900,000",54.77,55.54,-0.77,48685700.0,493824845.0,1684917.0,60671.43,179521.0
62,1699-5000,2021-12-13,257.4,271.99,-14.59,10588700.0,164.75,168.45,-3.7,11142300.0,267.14,278.22,-11.08,4028700.0,"35,958.93","35,650.95",307.98,"441,110,000",53.44,55.2,-1.76,54923200.0,492139928.0,1588822.0,60058.86,184119.0
63,1699-5000,2021-12-12,,,,,,,,,,,,,,,,,,,,,,,,
64,1699-5000,2021-12-11,,,,,,,,,,,,,,,,,,,,,,,,
65,1699-5000,2021-12-10,235.4,257.06,-21.65,17442400.0,165.57,165.49,0.08,6571900.0,268.72,257.68,11.04,5041600.0,"35,830.55","35,970.99",-140.44,"361,200,000",51.2,52.78,-1.58,26043000.0,488695809.0,2065678.0,57511.71,181222.0
66,0-549,2021-12-09,285.19,272.21,12.98,5231800.0,164.18,165.9,-1.72,8574200.0,298.06,284.21,13.85,1979800.0,"35,722.26","35,754.69",-32.43,"353,020,000",51.51,52.08,-0.57,38325700.0,486630131.0,1887332.0,56563.0,185353.0
67,550-1698,2021-12-08,282.38,283.4,-1.02,7107700.0,163.47,164.34,-0.87,6216400.0,308.65,291.94,16.71,3983300.0,"35,716.85","35,754.75",-37.9,"387,650,000",52.75,51.4,1.35,37429200.0,484742799.0,1890977.0,55595.86,178912.0
68,1699-5000,2021-12-07,268.14,282.35,-14.21,10767100.0,164.0,163.36,0.64,8311300.0,287.72,302.69,-14.97,3478200.0,"35,423.99","35,719.43",-295.44,"474,940,000",51.25,51.72,-0.47,41575400.0,482851822.0,1877294.0,54684.57,177255.0
69,1699-5000,2021-12-06,280.85,265.33,15.52,19845000.0,160.19,162.94,-2.75,9692000.0,317.57,279.83,37.74,6780100.0,"34,633.43","35,227.03",-593.6,"416,720,000",53.78,51.48,2.3,53724000.0,480974528.0,1798658.0,53794.0,158922.0
70,1699-5000,2021-12-05,,,,,,,,,,,,,,,,,,,,,,,,
71,1699-5000,2021-12-04,,,,,,,,,,,,,,,,,,,,,,,,
72,1699-5000,2021-12-03,318.09,306.72,11.37,12688100.0,157.91,159.38,-1.47,8750200.0,338.0,344.06,-6.06,3321500.0,"34,692.78","34,580.08",112.7,"439,550,000",53.71,54.27,-0.56,37544700.0,477000009.0,2397193.0,51433.14,195817.0
73,0-549,2021-12-02,301.29,301.49,-0.2,15409500.0,157.26,157.09,0.17,11334700.0,311.0,333.49,-22.49,4120100.0,"34,076.25","34,639.79",-563.54,"466,900,000",53.82,53.04,0.78,46361700.0,474602816.0,2126414.0,50555.57,194370.0
74,0-549,2021-11-02,338.74,348.64,-9.9,5259400.0,163.7,165.59,-1.89,8450600.0,282.08,289.48,-7.4,2469800.0,"35,935.11","36,052.63",-117.52,"304,510,000",45.08,45.45,-0.37,69248000.0,431900368.0,1484991.0,42496.43,184594.0
75,1699-5000,2021-10-02,,,,,,,,,,,,,,,,,,,,,,,,
76,1699-5000,2021-09-02,393.13,397.66,-4.53,8902900.0,174.34,174.93,-0.59,4544300.0,334.86,328.53,6.33,2113100.0,"35,353.06","35,443.82",-90.76,"263,370,000",46.48,46.84,-0.36,26106300.0,379521508.0,892979.0,95542.43,205527.0
77,1699-5000,2021-08-02,360.0,346.61,13.39,13685900.0,172.47,172.27,0.2,3721500.0,345.26,340.21,5.05,5016300.0,"34,968.56","34,838.16",130.4,"238,620,000",43.3,43.96,-0.66,43066900.0,354618805.0,718641.0,44070.86,193672.0
78,1699-5000,2021-07-02,235.1,234.3,0.8,4197800.0,166.02,168.98,-2.96,9059900.0,224.89,224.0,0.89,967600.0,"34,642.42","34,786.35",-143.93,"301,860,000",39.46,39.73,-0.27,16592700.0,338372456.0,619991.0,12420.43,201098.0
79,1699-5000,2021-06-02,183.9,191.6,-7.7,10142500.0,165.3,166.2,-0.9,6806000.0,206.26,219.4,-13.14,2823300.0,"34,614.62","34,600.38",14.24,"263,810,000",38.64,38.79,-0.15,19629000.0,314277388.0,1113675.0,19029.43,191584.0
80,0-549,2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,
81,550-1698,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,
82,1699-5000,2021-03-02,153.5,146.81,6.69,8630600.0,159.78,159.02,0.76,7610900.0,109.86,104.98,4.88,1093400.0,"31,535.37","31,391.52",143.85,"337,270,000",33.68,33.51,0.17,27670400.0,91992938.0,2459727.0,44880.43,157518.0
83,1699-5000,2021-02-02,158.52,158.58,-0.06,14923900.0,163.38,161.25,2.13,11443300.0,115.0,114.76,0.24,1906700.0,"30,276.88","30,687.48",-410.6,"333,160,000",35.76,34.99,0.77,84062400.0,40742109.0,1693343.0,92781.86,127998.0
84,1699-5000,2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,
85,1699-5000,2021-11-20,,,,,,,,,,,,,,,,,,,,,,,,
86,1699-5000,2021-11-19,265.42,263.78,1.64,15624000.0,163.04,162.89,0.15,7620700.0,277.68,289.75,-12.07,4140100.0,"35,879.09","35,601.98",277.11,"408,840,000",51.96,50.8,1.16,47966200.0,457369907.0,2048985.0,42959.71,195824.0
87,0-549,2021-11-18,246.12,251.41,-5.29,7395600.0,163.45,162.4,1.05,6358700.0,277.28,274.06,3.22,2635700.0,"35,901.69","35,870.95",30.74,"435,080,000",51.1,51.41,-0.31,32872600.0,455320922.0,1765917.0,42468.86,188759.0
88,0-549,2021-11-17,234.79,242.23,-7.44,8015800.0,162.87,163.28,-0.41,5414500.0,263.64,272.0,-8.36,2897300.0,"36,159.70","35,931.05",228.65,"358,310,000",49.94,50.87,-0.93,36889800.0,453555005.0,1737867.0,41995.29,191023.0
89,550-1698,2021-11-16,234.01,234.28,-0.27,5332000.0,163.18,162.67,0.51,7594700.0,247.04,258.05,-11.01,3291700.0,"36,076.18","36,142.22",-66.04,"308,290,000",49.47,49.6,-0.13,31297200.0,451817138.0,1661984.0,41638.71,185253.0
90,0-549,2021-11-15,230.82,235.07,-4.25,5665200.0,165.0,163.52,1.48,7496200.0,241.72,250.48,-8.76,2629200.0,"36,128.83","36,087.45",41.38,"280,660,000",49.73,49.65,0.08,27763200.0,450155154.0,1532187.0,41315.14,177433.0
91,1699-5000,2021-11-14,,,,,,,,,,,,,,,,,,,,,,,,
92,1699-5000,2021-11-13,,,,,,,,,,,,,,,,,,,,,,,,
93,1699-5000,2021-11-12,225.86,231.19,-5.33,6823500.0,167.43,165.01,2.42,18982100.0,233.5,238.14,-4.64,1733400.0,"35,963.78","36,100.31",-136.53,"293,180,000",50.42,49.73,0.69,27766700.0,446885402.0,1968752.0,40684.43,178163.0
94,0-549,2021-11-11,227.67,225.82,1.85,8359400.0,163.49,163.06,0.43,4118800.0,237.44,235.89,1.55,2266200.0,"36,038.78","35,921.23",117.55,"270,320,000",49.23,50.18,-0.95,42370400.0,444916650.0,1583756.0,40575.86,181627.0
95,0-549,2021-11-10,230.1,228.96,1.14,9118500.0,162.53,164.27,-1.74,6225100.0,233.16,235.4,-2.24,4053700.0,"36,299.25","36,079.94",219.31,"278,390,000",47.4,49.02,-1.62,42696200.0,443332894.0,1746128.0,40513.43,191570.0
96,1699-5000,2021-11-09,246.07,236.85,9.22,10960300.0,162.61,162.51,0.1,6112800.0,251.66,226.37,25.29,5541700.0,"36,404.53","36,319.98",84.55,"258,020,000",48.33,47.3,1.03,29920400.0,441586766.0,1618128.0,40525.43,195032.0
97,1699-5000,2021-11-08,233.06,244.68,-11.62,14606800.0,163.68,162.87,0.81,5578800.0,232.18,242.6,-10.42,4834300.0,"36,416.46","36,432.22",-15.76,"284,400,000",48.61,48.33,0.28,57423300.0,439968638.0,1446289.0,40587.86,189867.0
98,1699-5000,2021-11-07,,,,,,,,,,,,,,,,,,,,,,,,
99,1699-5000,2021-11-06,,,,,,,,,,,,,,,,,,,,,,,,
100,1699-5000,2021-11-05,241.57,236.99,4.58,59299200.0,162.48,163.43,-0.95,6214600.0,240.47,216.64,23.83,11602800.0,"36,268.75","36,327.95",-59.2,"344,600,000",48.09,48.61,-0.52,173753300.0,436947229.0,1889094.0,41352.71,199895.0
101,0-549,2021-11-04,295.81,284.02,11.79,30967700.0,164.94,164.6,0.34,8224400.0,283.78,273.94,9.84,5055900.0,"36,107.46","36,124.23",-16.77,"307,640,000",44.29,43.85,0.44,38172500.0,435058135.0,1616563.0,41697.86,191750.0
102,0-549,2021-11-03,350.0,345.92,4.08,6447800.0,165.04,165.06,-0.02,6717800.0,293.53,295.41,-1.88,2416800.0,"36,059.09","36,157.58",-98.49,"262,540,000",45.52,44.82,0.7,44593100.0,433441572.0,1541204.0,42082.29,190691.0
103,1699-5000,2021-12-01,330.0,310.61,19.39,21549200.0,156.88,158.08,-1.2,9835800.0,335.65,334.48,1.17,3708300.0,"34,678.94","34,022.04",656.9,"496,000,000",52.47,54.68,-2.21,59810400.0,472476402.0,2111163.0,49659.71,190620.0
104,1699-5000,2021-11-01,334.99,337.17,-2.18,8662800.0,163.16,163.02,0.14,5846400.0,282.0,274.32,7.68,1798700.0,"35,833.65","35,913.84",-80.19,"292,880,000",44.14,43.64,0.5,32681500.0,430415377.0,1437902.0,42989.57,181244.0
105,1699-5000,2021-10-01,358.33,341.09,17.24,34351300.0,161.53,160.47,1.06,8568300.0,251.0,254.79,-3.79,6885400.0,"33,930.70","34,326.46",-395.76,"427,580,000",42.52,42.93,-0.41,38483000.0,401440726.0,1290835.0,70494.29,206736.0
106,1699-5000,2021-09-01,382.84,389.94,-7.1,11617300.0,172.9,173.74,-0.84,5327400.0,334.25,332.5,1.75,2632200.0,"35,387.55","35,312.53",75.02,"265,520,000",46.19,46.04,0.15,32900100.0,378628529.0,929541.0,95354.57,191682.0
107,1699-5000,2021-08-01,,,,,,,,,,,,,,,,,,,,,,,,
108,0-549,2021-07-01,236.3,235.11,1.19,5927500.0,164.74,165.96,-1.22,6320200.0,224.5,224.0,0.5,943600.0,"34,507.32","34,633.53",-126.21,"268,280,000",39.17,39.56,-0.39,20035900.0,337752465.0,603703.0,12288.57,197140.0
109,0-549,2021-06-01,184.08,184.66,-0.58,6010900.0,170.15,165.53,4.62,10448400.0,204.57,206.14,-1.57,1661900.0,"34,584.19","34,575.31",8.88,"287,700,000",38.94,38.5,0.44,23642400.0,313163713.0,1260184.0,19518.0,187815.0
110,1699-5000,2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,
111,1699-5000,2021-04-01,132.2,132.55,-0.35,7269700.0,162.6,162.83,-0.23,7229700.0,110.51,113.87,-3.36,2020700.0,"33,054.58","33,153.21",-98.63,"311,880,000",36.3,36.3,0.0,21319900.0,175981496.0,4542790.0,34422.43,181410.0
112,1699-5000,2021-03-01,154.46,157.4,-2.94,15351600.0,161.45,159.32,2.13,10551400.0,110.0,110.21,-0.21,885200.0,"31,065.90","31,535.51",-469.61,"385,670,000",33.59,33.69,-0.1,30407800.0,89533211.0,2041115.0,46195.57,144526.0
113,1699-5000,2021-02-01,173.03,157.48,15.55,22056500.0,165.31,162.71,2.6,9971400.0,117.85,116.1,1.75,2898200.0,"30,054.73","30,211.91",-157.18,"347,060,000",35.93,35.8,0.13,40395800.0,39048766.0,1378368.0,94999.43,121137.0
114,1699-5000,2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,
115,0-549,2021-10-21,337.21,339.57,-2.36,5597600.0,164.3,163.4,0.9,4524100.0,276.6,286.36,-9.76,2558800.0,"35,520.32","35,603.08",-82.76,"298,390,000",43.06,42.86,0.2,22142300.0,417060988.0,846632.0,49926.14,198769.0
116,0-549,2021-10-20,334.01,333.01,1.0,4983200.0,163.98,163.78,0.2,6003200.0,268.73,269.42,-0.69,2029200.0,"35,475.16","35,609.34",-134.18,"265,750,000",42.12,42.8,-0.68,22788300.0,416214356.0,824579.0,50791.71,202587.0
117,1699-5000,2021-10-19,339.11,333.61,5.5,8561100.0,160.9,163.87,-2.97,10081300.0,273.0,262.85,10.15,3854500.0,"35,325.37","35,457.31",-131.94,"278,510,000",41.6,42.09,-0.49,17159800.0,415389777.0,813020.0,51713.43,198885.0
118,1699-5000,2021-10-18,322.26,334.84,-12.58,8753700.0,160.25,160.12,0.13,7465500.0,245.34,261.09,-15.75,2011900.0,"35,221.02","35,258.61",-37.59,"312,640,000",41.45,41.32,0.13,21733000.0,414576757.0,822874.0,52683.57,192376.0
119,1699-5000,2021-10-17,,,,,,,,,,,,,,,,,,,,,,,,
120,1699-5000,2021-10-16,,,,,,,,,,,,,,,,,,,,,,,,
121,1699-5000,2021-10-15,341.01,324.21,16.8,17223200.0,161.03,161.3,-0.27,6912500.0,252.8,247.68,5.12,1653000.0,"35,023.63","35,294.76",-271.13,"327,870,000",41.9,41.49,0.41,23530800.0,412998444.0,1039533.0,54947.71,207998.0
122,0-549,2021-10-14,329.0,331.88,-2.88,12851300.0,159.71,160.11,-0.4,4579200.0,253.13,250.33,2.8,1708700.0,"34,443.22","34,912.56",-469.34,"338,540,000",41.56,41.67,-0.11,17590300.0,411958911.0,901171.0,55701.71,202454.0
