Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
4/8/2020,32.36,32.42,-0.06,4119800,137.75,143.26,-5.51,10758200,48.1,44.95,3.15,819800,"22,893.47","23,433.57",-540.1,"472,740,000",32.25,32.83,-0.58,25523980,43.41,43.85,-0.44,3860200,17.15,17.18,-0.03,13825700
4/9/2020,32.55,31.86,0.69,4861800,144.01,141.23,2.78,11125400,52.01,45.41,6.6,1483000,"23,690.66","23,719.37",-28.71,"566,400,000",33.24,33.58,-0.34,30648107,43.91,44.66,-0.75,5628200,17.45,17.05,0.4,4760200
4/13/2020,32,32.9,-0.9,5603900,140,139.77,0.23,8153200,46.02,41.71,4.31,880700,"23,698.93","23,390.77",308.16,"394,320,000",34.12,33.34,0.78,18270141,45.41,47.36,-1.95,6555700,17.85,17.64,0.21,4114700
4/14/2020,34,34.66,-0.66,8126900,145.42,146.03,-0.61,13838000,43.82,41.63,2.19,863900,"23,690.57","23,949.76",-259.19,"485,910,000",34.09,34.57,-0.48,21845309,47.64,48.68,-1.04,5109000,17.85,18,-0.15,3936500
4/15/2020,34.64,37.25,-2.61,15683000,145.55,147.66,-2.11,11962300,40.9,38.58,2.32,980600,"23,600.72","23,504.35",96.37,"437,630,000",34.21,34.13,0.09,21312196,47.67,48.03,-0.36,2901800,17.55,17.53,0.02,3455100
4/16/2020,38.07,40.6,-2.53,20670700,148.31,149.67,-1.36,12181700,38.76,38.79,-0.03,849400,"23,543.66","23,537.68",5.98,"471,050,000",34.27,34.04,0.23,20657451,48.55,49.13,-0.58,3218600,17.6,18.1,-0.5,4188800
4/17/2020,48.99,46.85,2.14,32286000,151.99,152.02,-0.03,10920000,40.3,40.81,-0.51,1008300,"23,817.15","24,242.49",-425.34,"525,950,000",34.63,35.02,-0.39,24404843,50.2,50.03,0.17,3349400,18.1,19.08,-0.98,7478600
4/20/2020,45,51.69,-6.69,34102500,150.93,151.67,-0.74,12226200,41.49,43.37,-1.88,1278800,"24,095.10","23,650.44",444.66,"423,410,000",34.52,34.23,0.28,22530620,49.82,50.44,-0.62,3416400,19.1,23.8,-4.7,27006300
4/21/2020,53,49.26,3.74,39642000,150.12,149.68,0.44,9951100,45.27,42.26,3.01,1507200,"23,365.25","23,018.88",346.37,"485,140,000",33.95,33.8,0.15,23975233,50.09,50.07,0.02,3545400,24.04,21.53,2.51,15517500
4/22/2020,50.61,51.2,-0.59,11670100,152.81,152.99,-0.18,11515600,54.44,53.5,0.94,10852500,"23,437.34","23,475.82",-38.48,"352,880,000",35.07,34.39,0.67,20182624,50.64,50.36,0.28,2803600,22.98,21.37,1.61,6478400
4/23/2020,49.1,47.44,1.66,15152400,154.25,155.51,-1.26,10665000,58,50,8,4271200,"23,543.09","23,515.26",27.83,"389,290,000",34.42,34.81,-0.39,20185365,50.29,50.39,-0.1,2549400,21.42,20.38,1.04,4911400
4/24/2020,47.15,50.5,-3.35,11702100,155.57,154.86,0.71,8653400,51.24,47.75,3.49,1822700,"23,628.24","23,775.27",-147.03,"376,020,000",34.95,35.46,-0.51,17353794,50.7,51.18,-0.48,2087600,20.32,19.83,0.49,4962900
