date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom
2020-02-19,49.0,87.0,37.0,20.0,87.0,19.0,68.0,38.0,42.0,4.0,4.0,32.0,0.0,15.0,70.0,11.0,1.0,20.0,39.0,6.0,38.0,6.0,42.0,87.0,4.0
2020-02-20,46.0,82.0,31.0,22.0,85.0,15.0,69.0,36.0,34.0,4.0,7.0,40.0,0.0,45.0,55.0,10.0,1.0,0.0,37.0,5.0,50.0,4.0,38.0,86.0,4.0
2020-02-21,42.0,75.0,38.0,25.0,80.0,15.0,67.0,35.0,31.0,0.0,0.0,47.0,0.0,14.0,81.0,12.0,1.0,0.0,45.0,5.0,43.0,2.0,35.0,87.0,4.0
2020-02-22,29.0,72.0,40.0,28.0,60.0,17.0,71.0,36.0,31.0,0.0,0.0,29.0,0.0,11.0,65.0,13.0,1.0,6.0,51.0,3.0,55.0,1.0,27.0,93.0,3.0
2020-02-23,51.0,75.0,43.0,34.0,68.0,19.0,77.0,37.0,33.0,0.0,0.0,16.0,0.0,10.0,52.0,14.0,1.0,0.0,44.0,3.0,54.0,4.0,32.0,93.0,3.0
2020-02-24,44.0,87.0,36.0,16.0,90.0,16.0,69.0,37.0,35.0,4.0,0.0,45.0,0.0,12.0,73.0,12.0,2.0,20.0,35.0,6.0,45.0,5.0,39.0,89.0,4.0
2020-02-25,49.0,86.0,22.0,21.0,93.0,17.0,66.0,39.0,36.0,0.0,0.0,37.0,0.0,13.0,79.0,12.0,2.0,25.0,35.0,7.0,37.0,4.0,44.0,81.0,4.0
2020-02-26,43.0,84.0,49.0,21.0,88.0,17.0,64.0,37.0,41.0,4.0,0.0,26.0,0.0,14.0,97.0,11.0,3.0,15.0,33.0,6.0,41.0,5.0,45.0,82.0,4.0
2020-02-27,44.0,80.0,50.0,21.0,89.0,18.0,60.0,40.0,42.0,0.0,0.0,37.0,0.0,14.0,92.0,11.0,3.0,10.0,36.0,5.0,33.0,3.0,48.0,80.0,4.0
2020-02-28,41.0,76.0,26.0,22.0,81.0,19.0,64.0,40.0,37.0,16.0,0.0,24.0,0.0,13.0,73.0,11.0,3.0,10.0,49.0,6.0,44.0,4.0,39.0,94.0,5.0
2020-02-29,42.0,70.0,13.0,26.0,53.0,16.0,71.0,39.0,39.0,0.0,0.0,41.0,0.0,12.0,40.0,11.0,3.0,0.0,47.0,3.0,47.0,2.0,35.0,90.0,3.0
2020-03-01,42.0,69.0,50.0,30.0,58.0,22.0,67.0,41.0,39.0,5.0,4.0,41.0,0.0,10.0,44.0,12.0,3.0,12.0,42.0,4.0,46.0,3.0,29.0,90.0,3.0
2020-03-02,47.0,82.0,42.0,17.0,88.0,21.0,71.0,42.0,51.0,12.0,0.0,31.0,0.0,20.0,69.0,12.0,4.0,5.0,34.0,5.0,47.0,7.0,45.0,78.0,4.0
2020-03-03,40.0,80.0,50.0,20.0,89.0,18.0,67.0,42.0,50.0,12.0,7.0,39.0,0.0,18.0,69.0,10.0,4.0,0.0,33.0,5.0,40.0,5.0,45.0,87.0,4.0
2020-03-04,44.0,81.0,38.0,22.0,86.0,24.0,61.0,41.0,47.0,0.0,3.0,38.0,0.0,14.0,82.0,9.0,5.0,14.0,32.0,6.0,32.0,2.0,41.0,80.0,4.0
2020-03-05,53.0,83.0,28.0,30.0,91.0,24.0,64.0,43.0,45.0,4.0,4.0,24.0,0.0,12.0,61.0,10.0,6.0,10.0,47.0,6.0,23.0,4.0,42.0,82.0,5.0
2020-03-06,41.0,75.0,11.0,26.0,78.0,25.0,61.0,41.0,48.0,4.0,0.0,34.0,0.0,12.0,64.0,11.0,7.0,0.0,42.0,7.0,24.0,4.0,41.0,87.0,5.0
2020-03-07,36.0,68.0,40.0,34.0,58.0,30.0,66.0,42.0,42.0,0.0,0.0,19.0,0.0,9.0,56.0,12.0,7.0,0.0,42.0,4.0,33.0,2.0,25.0,92.0,3.0
