,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
79,2020-03-26,27.56,27.94,-0.38,5570800,120.57,126.57,-6.0,15066800,52.0,55.0,-3.0,471600,"21,468.38","22,552.17","-1,083.79","705,180,000",28.36,30.12,-1.76,43269967,0.0,0.0,0.0,96970.0
80,2020-03-27,28.37,30.05,-1.68,12408300,121.65,123.16,-1.51,12133200,54.83,55.0,-0.17,246200,"21,898.47","21,636.78",261.69,"588,830,000",29.22,29.32,-0.09,38290344,0.0,0.0,0.0,89276.0
81,2020-03-30,30.59,30.48,0.11,10749900,128.46,133.01,-4.55,21754000,60.0,62.0,-2.0,591200,"21,678.22","22,327.48",-649.26,"545,540,000",29.46,31.0,-1.54,29943508,0.0,0.0,0.0,74295.0
82,2020-03-31,30.6,29.95,0.65,6022100,134.99,131.13,3.86,15746100,59.86,58.4,1.46,243300,"22,208.42","21,917.16",291.26,"571,210,000",30.74,30.97,-0.23,29466151,0.0,0.0,0.0,77465.0
83,2020-04-01,30.05,29.67,0.38,7004600,127.7,128.81,-1.11,12606100,56.35,52.92,3.43,259100,"21,227.38","20,943.51",283.87,"506,680,000",30.28,30.12,0.16,26709625,0.0,0.0,0.0,80431.0
84,2020-04-02,30.6,33.2,-2.6,15934400,129.12,133.15,-4.03,11594500,55.5,56.91,-1.41,245700,"20,819.46","21,413.44",-593.98,"529,540,000",30.27,31.19,-0.92,27186876,0.0,0.0,0.0,76022.0
85,2020-04-03,32.81,34.84,-2.03,16896200,132.38,134.17,-1.79,10071200,57.98,52.75,5.23,227300,"21,285.93","21,052.53",233.4,"450,010,000",30.96,31.92,-0.96,32837370,0.0,0.0,0.0,72785.0
86,2020-04-06,34.91,34.64,0.27,10841600,137.01,139.76,-2.75,14994400,55.5,52.73,2.77,331000,"21,693.63","22,679.99",-986.36,"610,760,000",32.18,32.8,-0.62,40503217,0.0,0.0,0.0,67420.0
87,2020-04-07,33.81,32.02,1.79,10104300,139.86,137.48,2.38,11567100,50.0,45.6,4.4,1461700,"23,537.44","22,653.86",883.58,"594,660,000",33.21,31.89,1.32,24226295,0.0,0.0,0.0,73157.0
88,2020-04-08,32.36,32.42,-0.06,4119800,137.75,143.26,-5.51,10758200,48.1,44.95,3.15,819800,"22,893.47","23,433.57",-540.1,"472,740,000",32.25,32.83,-0.58,25523980,0.0,0.0,0.0,74591.0
