Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2/14/20,19.27,19,0.27,5384500,150.56,150.13,0.43,5716300,31,30.75,0.25,128700,"29,440.47","29,398.08",42.39,"231,000,000",35.08,34.64,0.44,21006747,37,69,46,27,67,17,57,36,34,4,0,29,0,13,60,10,1,11,39,5,37,4,32,91,4,0,67,18,56,25,26,46,20,62,61,12,13,49,38,8,45,51,59,36,1,0,19,46
2/18/20,19.14,18.91,0.23,4121900,150.47,149.14,1.33,7230700,30.49,31.54,-1.05,66200,"29,282.78","29,232.19",50.59,"256,600,000",34.68,34.46,0.22,17988513,53,85,45,19,87,17,69,40,41,4,0,34,0,14,71,11,1,0,34,4,48,5,38,90,4,0,50,20,59,30,27,49,15,68,62,29,33,48,53,8,61,54,80,50,1,0,17,42
2/19/20,19.09,18.92,0.17,3148000,149.21,148.94,0.27,6115200,31.5,32.25,-0.75,253800,"29,312.70","29,348.03",-35.33,"240,640,000",34.54,34.37,0.16,17750941,49,87,37,20,87,19,68,38,42,4,4,32,0,15,70,11,1,20,39,6,38,6,42,87,4,0,50,12,56,28,27,49,14,66,59,29,42,47,55,7,64,54,76,50,1,0,15,41
2/20/20,18.86,18.54,0.32,4562200,148.61,148.37,0.24,7464700,31.72,32.38,-0.66,152200,"29,296.25","29,219.98",76.27,"287,780,000",33.88,34.01,-0.13,42953135,46,82,31,22,85,15,69,36,34,4,7,40,0,45,55,10,1,0,37,5,50,4,38,86,4,0,66,12,55,30,27,46,16,65,58,26,29,49,50,6,67,57,74,45,1,0,19,44
2/21/20,18.47,18.23,0.24,3651100,148.09,149.93,-1.84,7776800,31.8,32.35,-0.55,158700,"29,146.53","28,992.41",154.12,"311,210,000",33.93,33.89,0.04,32425256,42,75,38,25,80,15,67,35,31,0,0,47,0,14,81,12,1,0,45,5,43,2,35,87,4,0,43,20,68,25,25,54,18,65,58,10,14,49,37,8,54,50,58,39,1,0,23,48
2/24/20,19.23,18.59,0.64,7605400,146.5,145.91,0.59,10588900,30,30.6,-0.6,148400,"28,402.93","27,960.80",442.13,"452,580,000",33.24,32.89,0.35,37969296,44,87,36,16,90,16,69,37,35,4,0,45,0,12,73,12,2,20,35,6,45,5,39,89,4,1,60,22,55,24,26,47,15,69,61,29,31,48,44,8,79,58,82,54,1,0,18,42
2/25/20,22.15,23.76,-1.61,65001900,145.99,144.65,1.34,10529000,30,33.44,-3.44,201500,"28,037.65","27,081.36",956.29,"513,270,000",32.9,32.19,0.71,41878898,49,86,22,21,93,17,66,39,36,0,0,37,0,13,79,12,2,25,35,7,37,4,44,81,4,1,59,44,54,32,26,45,15,66,60,29,48,51,44,8,59,55,78,53,1,0,18,40
2/26/20,29.05,29.16,-0.11,76444500,145.35,143.68,1.67,10093800,31.85,33.75,-1.9,213300,"27,159.46","26,957.59",201.87,"472,450,000",32.49,32.94,-0.46,47920005,43,84,49,21,88,17,64,37,41,4,0,26,0,14,97,11,3,15,33,6,41,5,45,82,4,2,60,32,53,28,27,45,14,66,60,30,41,48,44,8,69,54,78,51,1,0,21,41
2/27/20,35.88,26.16,9.72,68256300,142.56,139.12,3.44,12566700,31.45,33.88,-2.43,112400,"26,526.00","25,766.64",759.36,"664,980,000",32.68,32.35,0.32,55444827,44,80,50,21,89,18,60,40,42,0,0,37,0,14,92,11,3,10,36,5,33,3,48,80,4,2,51,41,57,24,28,45,14,65,61,29,26,52,38,8,70,56,70,48,1,0,22,43
2/28/20,23.38,25.93,-2.55,24253700,135.36,134.48,0.88,19820300,33.4,35.1,-1.7,234400,"25,270.83","25,409.36",-138.53,"915,990,000",31.77,31.71,0.07,66057447,41,76,26,22,81,19,64,40,37,16,0,24,0,13,73,11,3,10,49,6,44,4,39,94,5,3,54,45,63,22,25,49,17,65,57,12,13,49,35,9,74,52,66,42,1,0,25,47
3/2/20,27,29.88,-2.88,33084000,134.78,140.02,-5.24,11508200,35.01,36.6,-1.59,185100,"25,590.51","26,703.32","-1,112.81","637,200,000",32.17,33.09,-0.92,42034469,47,82,42,17,88,21,71,42,51,12,0,31,0,20,69,12,4,5,34,5,47,7,45,78,4,4,53,64,54,27,28,50,16,65,61,29,37,48,42,8,66,56,74,51,1,0,21,42
3/3/20,27.8,27.91,-0.11,17599100,140,135.59,4.41,13662500,36.65,38.48,-1.83,297900,"26,762.47","25,917.41",845.06,"647,080,000",33.38,32.54,0.83,46174475,40,80,50,20,89,18,67,42,50,12,7,39,0,18,69,10,4,0,33,5,40,5,45,87,4,4,60,57,55,30,27,53,13,64,58,36,36,48,42,8,67,55,74,50,1,0,21,39
