Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2020-02-21,42,75,38,25,80,15,67,35,31,0,0,47,0,14,81,12,1,0,45,5,43,2,35,87,4,0,43,20,68,25,25,54,18,65,58,10,14,49,37,8,54,50,58,39,1,0,23,48
2020-02-22,29,72,40,28,60,17,71,36,31,0,0,29,0,11,65,13,1,6,51,3,55,1,27,93,3,0,64,14,69,24,28,55,20,69,55,15,17,44,36,8,53,56,66,42,1,0,21,45
2020-02-23,51,75,43,34,68,19,77,37,33,0,0,16,0,10,52,14,1,0,44,3,54,4,32,93,3,1,50,13,53,24,27,49,14,70,59,29,30,48,51,7,65,58,74,54,1,0,17,42
2020-02-24,44,87,36,16,90,16,69,37,35,4,0,45,0,12,73,12,2,20,35,6,45,5,39,89,4,1,60,22,55,24,26,47,15,69,61,29,31,48,44,8,79,58,82,54,1,0,18,42
2020-02-25,49,86,22,21,93,17,66,39,36,0,0,37,0,13,79,12,2,25,35,7,37,4,44,81,4,1,59,44,54,32,26,45,15,66,60,29,48,51,44,8,59,55,78,53,1,0,18,40
2020-02-26,43,84,49,21,88,17,64,37,41,4,0,26,0,14,97,11,3,15,33,6,41,5,45,82,4,2,60,32,53,28,27,45,14,66,60,30,41,48,44,8,69,54,78,51,1,0,21,41
2020-02-27,44,80,50,21,89,18,60,40,42,0,0,37,0,14,92,11,3,10,36,5,33,3,48,80,4,2,51,41,57,24,28,45,14,65,61,29,26,52,38,8,70,56,70,48,1,0,22,43
2020-02-28,41,76,26,22,81,19,64,40,37,16,0,24,0,13,73,11,3,10,49,6,44,4,39,94,5,3,54,45,63,22,25,49,17,65,57,12,13,49,35,9,74,52,66,42,1,0,25,47
2020-02-29,42,70,13,26,53,16,71,39,39,0,0,41,0,12,40,11,3,0,47,3,47,2,35,90,3,3,49,52,68,36,27,53,20,67,56,15,10,47,40,9,75,48,60,40,1,0,25,44
2020-03-01,42,69,50,30,58,22,67,41,39,5,4,41,0,10,44,12,3,12,42,4,46,3,29,90,3,4,49,74,59,28,26,52,13,65,58,29,38,48,41,7,72,58,77,52,1,0,23,42
2020-03-02,47,82,42,17,88,21,71,42,51,12,0,31,0,20,69,12,4,5,34,5,47,7,45,78,4,4,53,64,54,27,28,50,16,65,61,29,37,48,42,8,66,56,74,51,1,0,21,42
2020-03-03,40,80,50,20,89,18,67,42,50,12,7,39,0,18,69,10,4,0,33,5,40,5,45,87,4,4,60,57,55,30,27,53,13,64,58,36,36,48,42,8,67,55,74,50,1,0,21,39
2020-03-04,44,81,38,22,86,24,61,41,47,0,3,38,0,14,82,9,5,14,32,6,32,2,41,80,4,4,53,43,57,29,28,50,15,65,61,39,37,48,41,8,61,58,75,53,1,0,23,40
2020-03-05,53,83,28,30,91,24,64,43,45,4,4,24,0,12,61,10,6,10,47,6,23,4,42,82,5,6,54,60,55,31,26,47,15,61,61,36,32,48,38,8,64,50,72,51,1,0,26,41
2020-03-06,41,75,11,26,78,25,61,41,48,4,0,34,0,12,64,11,7,0,42,7,24,4,41,87,5,8,48,52,62,29,26,50,18,61,57,14,14,47,32,9,55,51,64,42,1,0,30,46
2020-03-07,36,68,40,34,58,30,66,42,42,0,0,19,0,9,56,12,7,0,42,4,33,2,25,92,3,8,49,57,66,33,29,53,19,67,59,17,24,47,36,8,62,48,60,44,1,0,31,44
2020-03-08,36,70,50,31,66,29,71,45,41,0,0,41,0,9,38,12,10,0,46,5,38,3,31,82,3,11,57,37,53,24,29,47,14,62,60,30,39,48,41,8,69,54,72,55,1,0,26,42
2020-03-09,38,76,17,18,87,31,63,48,53,8,14,44,0,13,73,11,13,15,34,8,37,5,36,76,6,13,60,27,53,28,29,47,15,58,58,31,40,48,37,8,54,52,75,58,1,0,27,39
2020-03-10,46,78,25,26,85,34,68,49,58,0,7,36,0,10,54,9,15,5,32,9,26,5,38,78,7,16,62,32,53,28,35,49,15,58,59,33,29,46,35,9,57,51,75,60,1,1,31,37
2020-03-11,42,79,22,22,80,43,69,52,64,4,3,37,0,12,64,10,15,5,33,13,28,5,35,83,10,33,52,28,44,32,37,53,12,50,54,30,23,48,35,14,58,46,87,73,0,1,41,36
2020-03-12,42,71,21,18,81,69,50,67,100,7,7,31,0,12,41,10,31,14,31,18,21,7,38,72,12,38,55,50,41,22,35,45,14,45,61,26,17,48,27,14,42,40,72,75,1,1,48,38
2020-03-13,32,67,14,18,70,83,48,72,88,4,0,40,0,10,46,12,43,20,36,40,35,10,32,74,15,38,60,32,50,22,32,50,18,49,63,15,9,45,28,12,64,44,64,83,1,1,56,40
2020-03-14,38,63,34,28,56,87,53,79,84,0,4,22,0,8,54,16,36,6,43,23,34,11,24,79,10,39,70,28,50,26,28,53,19,50,58,18,10,42,27,10,55,44,64,78,1,1,52,39
2020-03-15,27,63,29,26,58,84,60,81,74,13,0,34,0,10,49,19,44,0,43,30,34,12,28,69,12,48,70,29,43,22,23,49,15,46,58,20,24,50,23,10,60,40,64,70,1,2,50,35
2020-03-16,29,71,27,18,76,87,49,100,68,8,3,37,0,9,48,23,100,10,37,63,15,36,28,76,33,43,72,28,40,23,21,45,17,45,61,22,20,47,29,9,53,39,65,74,1,9,46,35
2020-03-17,25,70,27,21,87,98,47,98,62,0,3,28,0,9,30,29,66,15,32,100,28,43,25,78,38,48,54,23,43,24,19,47,16,46,61,30,28,50,30,12,57,39,66,83,1,7,59,51
2020-03-18,34,72,30,18,97,80,52,100,60,16,7,37,0,9,56,27,54,30,39,96,35,53,31,80,47,57,65,19,44,28,18,46,17,48,62,32,34,44,52,9,66,39,66,79,1,47,57,37
2020-03-19,27,71,41,30,91,89,49,99,46,15,14,34,0,10,37,26,60,15,36,80,26,53,28,80,52,63,46,25,43,20,17,45,16,46,66,29,23,45,26,8,56,39,60,88,1,37,53,33
2020-03-20,29,74,57,33,85,100,53,87,43,8,17,23,0,8,42,24,75,14,36,73,26,57,34,85,54,56,55,24,50,24,18,51,21,46,66,19,11,41,24,9,63,42,57,93,1,36,63,37
2020-03-21,36,73,37,44,80,97,58,76,40,17,19,27,0,11,35,33,58,22,46,44,19,42,35,93,39,56,55,23,53,25,18,55,24,50,65,18,15,39,22,8,59,43,54,95,1,28,61,36
2020-03-22,25,74,43,42,86,87,56,79,37,13,19,32,0,14,36,34,63,17,49,52,25,37,34,89,48,59,53,15,47,24,16,47,17,50,64,25,33,42,32,8,67,40,62,88,1,30,51,32
2020-03-23,34,80,41,37,96,79,55,83,36,100,73,46,0,13,42,28,54,18,33,91,25,60,38,89,77,61,47,17,47,29,16,49,17,51,78,27,38,42,29,7,63,42,64,86,1,35,50,32
2020-03-24,29,83,47,43,90,82,57,80,36,42,34,50,0,14,33,26,46,34,36,84,22,61,35,85,86,55,42,17,47,25,16,48,17,54,69,28,27,41,33,7,78,47,61,91,1,20,50,33
2020-03-25,35,80,61,44,78,73,55,81,29,47,38,37,0,12,44,26,38,15,43,77,11,84,35,86,82,50,51,22,50,23,17,46,20,55,67,26,31,39,34,7,78,46,62,100,1,16,52,35
2020-03-26,33,79,50,39,84,72,57,74,29,35,35,37,0,12,41,24,35,10,49,71,28,100,28,85,84,48,40,26,55,29,17,46,18,56,66,27,39,41,27,8,58,47,61,91,1,14,54,35
2020-03-27,34,78,34,51,76,68,56,68,25,48,43,47,0,13,60,22,35,23,57,58,15,88,31,85,81,46,42,21,58,24,17,51,22,54,62,18,18,38,27,8,73,55,52,92,1,16,62,37
2020-03-28,35,73,48,62,63,71,57,65,21,63,45,15,0,12,44,30,47,5,63,29,22,65,27,87,58,44,57,19,62,25,20,53,23,58,63,16,11,36,28,8,54,51,57,89,1,17,59,38
2020-03-29,37,79,52,61,72,59,66,64,20,43,35,35,0,10,29,30,44,11,63,27,18,64,32,85,63,46,45,13,50,37,18,45,18,58,64,27,28,39,27,8,63,48,61,93,1,24,54,34
2020-03-30,33,81,21,53,81,59,50,60,18,33,16,44,0,10,42,27,44,18,44,64,26,90,31,75,94,44,49,21,50,24,17,45,20,59,66,27,34,40,30,8,70,48,59,96,1,22,53,33
2020-03-31,39,83,31,48,84,55,52,60,20,26,42,37,0,12,48,28,34,28,47,65,25,81,28,81,94,45,44,24,59,23,18,45,17,58,66,27,32,38,33,8,66,47,63,88,1,15,55,33
2020-04-01,41,80,31,52,81,54,55,59,18,22,66,34,0,17,46,24,36,23,47,61,12,79,25,87,100,43,42,15,59,30,21,44,19,58,66,27,38,38,39,7,71,48,66,93,1,18,55,33
2020-04-02,28,78,42,57,92,52,55,58,16,22,26,34,0,20,33,25,33,18,40,53,16,81,31,79,96,40,62,20,56,26,20,43,18,61,68,28,30,38,37,7,61,46,63,86,4,17,54,33
